kepid,teff,teff_err,logg,logg_err,fe,fe_err,vsini,comments,binflag,rad,radep,radem,rade,dis,disep,disem,tm_designation,kepmag,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat,sb2flag,visflag,astflag,parflag,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag,zpt,parallax_zpcorrected
2158850,6038.923908,100,4.34596297,0.1,-0.098789488,0.06,2.682306651,fit looks good,False,1.1472998433903228,0.0463450974046713,0.0441329492359352,0.045239023320303245,207.8280852808528,0.5234522345223525,0.5222222222222115,2MASS J19243787+3730556,10.863,9.855,0.022,9.571,0.02,9.53,0.018,1636042515805110273,Gaia EDR3 2052529106573251584,2052529106573251584,1032159961,2016.0,291.1579605147056,0.009525635,37.5155739175198,0.011095826,4.795616289178396,0.012220753,392.41574,34.19096,25.83327862499437,0.011662756,22.397845786917657,0.012688924,-0.18334396,-0.19605553,0.07987082,-0.17611031,0.3374303,-0.23322369,-0.06880294,-0.2260884,0.05685246,-0.11992293,399,399,391,8,-1.8615774,741.6522,0.08459203,9.454805,31,False,1.5755926,,,,,,,,45,26,0.01823912,50,21,2,0.018987328,176.76518,0,0,0.93291026,,,,,,,,,False,393,907464.1065440882,106.40999,8527.997,10.792793,46,505847.2059374516,217.29929,2327.8826,11.078494,46,577651.5762804555,165.21286,3496.408,10.343731,0.0,0.0,0.0,0.0,0.0,1.1939852,0.73476315,0.2857008,0.44906235,,,0,,,,70.058911622432,10.125049837016531,303.263809662303,58.53601191046624,False,False,False,False,207.86726,207.3863,208.39752,207.88582,207.20032,208.41362,10033.0,-0.016127,4.811743289178396
2998253,6291.920315,100,4.321279037,0.1,0.108822555,0.06,9.150643595,fit looks good,False,1.4519118445306547,0.0566828701363082,0.054172209786045,0.055427539961176595,253.7689196891969,0.7883778837788213,0.7856178561785612,2MASS J19330994+3806262,10.594,9.655,0.02,9.435,0.02,9.396,0.018,1636042515805110273,Gaia EDR3 2052236773922878336,2052236773922878336,1071200800,2016.0,293.2914611028844,0.010608317,38.10724726549818,0.011085843,3.924617610821972,0.012338739,318.0728,12.270661,4.594008502209062,0.013372958,-11.37823380888574,0.014381479,0.00072422443,-0.03890867,-0.12771837,-0.09782707,0.0117518725,-0.09177705,-0.25112215,-0.15568355,0.11002265,-0.014505537,363,363,362,1,0.0421485,838.0652,0.08943029,9.921032,31,False,1.5891746,,,,,,,,42,29,0.020205759,49,21,2,0.011475053,89.30902,0,0,1.0006437,,,,,,,,,False,352,1155125.511300681,231.65045,4986.5024,10.530794,46,659055.5325027079,223.54727,2948.1707,10.791237,45,713920.1237613475,158.24734,4511.4194,10.113771,0.0,0.0,0.0,0.0,0.0,1.1885943,0.67746544,0.26044273,0.4170227,-32.360428,0.7696743,7,6500.0,4.0,-0.25,71.37113525271313,8.893768567732618,306.68695332660445,58.61607754708801,False,False,False,False,253.71417,252.93167,254.553,253.42653,252.50307,254.3303,10033.0,-0.016077,3.940694610821972
3338777,5993.60319,100,4.059795527,0.1,0.043533244,0.06,6.93486548,fit looks good,False,2.3691669179951647,0.1003340900149916,0.0954295235274309,0.09788180677121125,353.8753127531276,3.869170691706927,3.796341963419593,2MASS J19220313+3824576,10.453,9.411,0.021,9.163,0.016,9.117,0.018,1636042515805110273,Gaia EDR3 2052813978865591296,2052813978865591296,1405628480,2016.0,290.5130888957697,0.025767889,38.41598577948777,0.027401052,2.81008695537459,0.03089444,90.95769,7.3124533,0.289024310342832,0.034494884,-7.306739258691005,0.033496596,-0.10621834,-0.16408531,-0.06986867,-0.03993936,0.22023882,-0.117478386,-0.287024,-0.24659647,-0.1050875,-0.022665333,390,390,389,1,36.974487,6521.2617,0.33205894,165.94249,31,False,1.5706673,,,,,,,,44,26,0.048266247,52,41,1,0.013236006,139.1804,0,0,2.5960302,,,,,,,,,True,343,1328528.4919154136,197.05519,6741.9106,10.37894,46,736971.433779806,257.7434,2859.322,10.669915,47,851751.5061795927,136.77307,6227.4795,9.922113,0.0,46.0,0.0,47.0,0.0,1.1958516,0.7478018,0.29097557,0.4568262,,,0,,,,70.6510039203339,10.979678509437782,302.7950250111775,59.54152176239142,False,False,False,False,354.30173,350.32358,358.07465,354.52368,350.51935,358.6765,10033.0,-0.016914,2.82700095537459
3831297,6111.926793,100,4.368379053,0.1,-0.080877833,0.06,3.649333421,fit looks good,False,1.125539052873468,0.0449629919178893,0.0428111932736021,0.0438870925957457,186.40550205502052,0.364759647596486,0.3643161231612168,2MASS J18591193+3859313,10.764,9.664,0.024,9.384,0.022,9.32,0.018,1636042515805110273,Gaia EDR3 2100197982216390016,2100197982216390016,1413621206,2016.0,284.7995471984504,0.008622942,38.99174490435343,0.010776721,5.349076674326412,0.010592684,504.97842,60.89597,-23.6481841340618,0.011402151,-56.11668789608586,0.013999903,-0.19980483,-0.023308808,-0.0062640496,-0.018066702,0.12970988,-0.041105025,-0.27860388,-0.090538576,-0.036421422,-0.15722996,395,395,388,7,-3.1146653,708.80963,0.07649778,8.339701,31,False,1.5811763,,,,,,,,45,27,0.020011043,47,19,1,0.018257847,176.04988,0,0,0.8887636,,,,,,,,,True,368,1174952.0032921294,187.05566,6281.296,10.512317,43,660587.3798908639,337.53436,1957.0967,10.788716,43,741588.4457169214,146.2933,5069.1895,10.072488,0.0,0.0,0.0,0.0,0.0,1.1933899,0.7162285,0.2763996,0.43982887,-8.710236,1.1988776,6,6000.0,4.5,0.0,69.29780233890249,15.27730072100692,294.3268789336899,61.187055664184186,False,False,False,False,186.39922,185.91875,186.83362,186.37987,186.02138,186.71646,10033.0,-0.015613,5.364689674326412
3936993,6176.377413,100,4.116296945,0.1,-0.120267013,0.06,7.89849731,fit looks good,False,1.852129743692104,0.0735440990161111,0.0703776979083792,0.07196089846224515,363.9185271852719,1.6894888948889388,1.678501265012642,2MASS J19024818+3901462,10.962,9.988,0.021,9.757,0.02,9.682,0.017,1636042515805110273,Gaia EDR3 2100236916101123840,2100236916101123840,784713909,2016.0,285.70071987796496,0.010735299,39.02945251306439,0.012070777,2.724986159444205,0.012838105,212.25766,10.588509,-3.5903790690734656,0.014507141,-9.961209790554618,0.015436242,-0.011797215,-0.09920241,-0.093684204,0.030901838,0.1873447,-0.012584613,-0.28146017,-0.06863453,-0.113722354,0.09424386,431,431,428,3,-3.0032218,1306.4277,0.12467324,25.188591,95,False,,1.5779383,0.0032269447,-0.10873603,0.030598504,0.114228755,-0.09619894,-0.0973838,49,28,0.022169368,53,53,0,0.00080732943,55.687283,0,0,0.89766484,,,,,,,,,True,431,825281.2262641395,163.8714,5036.152,10.895862,47,468039.8126224584,263.18604,1778.3611,11.162835,48,514797.27176133264,127.857216,4026.345,10.468805,0.0,0.0,0.0,0.0,0.0,1.1909118,0.6940298,0.2669735,0.4270563,-3.6454144,0.84768504,7,6000.0,3.5,0.0,69.61708169340532,14.647532603201144,295.75964478093795,61.07212740951586,False,False,False,False,364.12756,362.70102,365.69003,363.61108,362.1739,366.00586,10033.0,-0.023058,2.7480441594442047
3952307,6102.421105,100,3.94906239,0.1,0.056276684,0.06,4.313092424,fit looks good,False,2.174034417997816,0.087851259551654,0.0837952243340769,0.08582324194286545,348.4252262522626,1.921872418724206,1.9060672606726143,2MASS J19234468+3900024,10.623,9.565,0.018,9.31,0.021,9.248,0.018,1636042515805110273,Gaia EDR3 2052957125834988672,2052957125834988672,1760191381,2016.0,290.93614153401376,0.013258624,39.00064627383038,0.01466335,2.854179756147077,0.015918164,179.30333,7.5257607,-4.756231628023543,0.017666241,-5.832266562276673,0.019448541,-0.08905164,-1.1023181e-05,-0.07401366,-0.058923706,0.10546129,-0.052719045,-0.16937591,0.02622597,-0.1625668,-0.1517058,410,410,408,2,7.3379874,1573.4005,0.16055731,34.138805,31,False,1.5802178,,,,,,,,46,29,0.028018638,52,21,0,0.022253877,115.225845,0,0,1.2684078,,,,,,,,,False,371,1224152.2508975726,200.94624,6091.939,10.467778,41,688010.87865919,249.46338,2757.9634,10.744554,41,772554.8349758446,185.68373,4160.595,10.028072,0.0,0.0,0.0,0.0,0.0,1.1931242,0.7164812,0.27677536,0.43970585,-2.6847703,0.2647254,5,6000.0,4.0,-0.25,71.33373418285375,10.940486745689569,303.7495066048592,60.01053572178657,False,False,False,False,348.35037,346.2226,350.39813,348.53357,346.46442,350.7933,10033.0,-0.016148,2.870327756147077
3967859,5948.918705,100,4.334913938,0.1,-0.290502151,0.06,1.783482562,fit looks good,False,1.2733550407229042,0.0519643479560025,0.0495506922010076,0.05075752007850505,198.70495904959049,0.4894448944489511,0.4883808838088157,2MASS J19395217+3902516,10.52,9.557,0.02,9.254,0.02,9.231000000000002,0.017,1636042515805110273,Gaia EDR3 2052163587685802624,2052163587685802624,753226289,2016.0,294.9674878061926,0.010093951,39.04762752458806,0.011882817,5.011498398343068,0.012501498,400.87183,19.361437,17.70326158144248,0.013997868,-7.839627447428493,0.014708666,-0.11826927,-0.097415656,-0.067218445,0.019571247,0.14594473,-0.01536282,-0.2636493,-0.16118178,-0.12490916,-0.11172329,394,394,394,0,-1.7140514,1070.7721,0.10145977,13.937548,95,False,,1.5737791,0.0030623868,-0.042987052,-0.08361262,0.11702118,-0.028144175,-0.047895156,45,28,0.021244122,52,52,0,0.009176845,27.750675,0,0,0.93826336,,,,,,,,,False,400,1148043.2892675295,184.55072,6220.7466,10.537471,47,634825.8898546248,322.58112,1967.9574,10.831905,46,737697.1184107598,171.33961,4305.4673,10.0782,0.0,11.0,0.0,0.0,0.0,1.1955324,0.753705,0.29443455,0.45927048,-13.533138,0.27506736,4,6250.0,4.0,-0.75,72.83328924101271,8.17949669452956,309.6638743206001,59.09673794285601,False,False,False,False,198.70982,198.18202,199.24452,198.72044,198.11536,199.14198,10033.0,-0.021162,5.032660398343069
4039966,6221.801669,100,4.551626268,0.1,0.049537077,0.06,9.586802001,fit looks good,False,1.1092335951948389,0.0436555679072314,0.0416244929528837,0.042640030430057554,176.81837518375184,0.3844586445864593,0.3838538385383856,2MASS J19041984+3910492,10.449,9.502,0.022,9.303,0.023,9.21,0.018,1636042515805110273,Gaia EDR3 2100080407493645952,2100080407493645952,1784540881,2016.0,286.082602080951,0.009906505,39.180327406023466,0.011802609,5.635148559832757,0.012405443,454.24808,15.347607,-15.187549750409731,0.013081012,-2.2107359797105683,0.014415543,-0.08519946,-0.07400636,-0.0028193905,-0.02006565,0.14159913,-0.051535197,-0.16482776,-0.07743711,-0.061465625,0.032824237,407,407,406,1,-1.8343742,1148.6804,0.111324646,19.525383,95,False,,1.583423,0.003171994,-0.006388063,0.13951582,0.12819545,-0.009249364,-0.11257175,46,29,0.020137101,51,51,0,0.010703846,166.02374,0,0,0.93503624,,,,,,,,,False,411,1294946.6125328592,387.8067,3339.1548,10.406737,46,726450.7534447084,553.7849,1311.7922,10.685527,44,815735.4171660742,509.6697,1600.5177,9.969022,0.0,0.0,0.0,0.0,0.0,1.1909264,0.71650505,0.27878952,0.43771553,-25.626854,0.75991595,4,6000.0,3.5,-0.25,69.88149470054898,14.435230169864628,296.4276810785234,61.152304563851686,False,False,False,False,176.77689,176.41959,177.18176,176.80963,176.49625,177.2067,10033.0,-0.020431,5.655579559832757
4147444,6305.419364,100,4.538775072,0.1,0.091569251,0.06,14.34946779,fit looks good,False,1.180724373731812,0.0458280977692688,0.0437076184322502,0.0447678581007595,221.7938249382494,0.486024860248591,0.4852268522685392,2MASS J19152816+3915538,10.762,9.792,0.02,9.579,0.02,9.549,0.017,1636042515805110273,Gaia EDR3 2099518758909586304,2099518758909586304,283393063,2016.0,288.86743271728534,0.008216413,39.26491666541329,0.009504399,4.49368455034103,0.009966814,450.8647,14.35429,11.268722224944243,0.011257168,-8.891655146387958,0.013785988,-0.12012942,0.11602313,-0.048497345,0.023333095,0.056876484,0.008931316,-0.24632029,-0.062780805,0.09156284,-0.12586504,405,405,401,4,-2.748066,691.6464,0.06243827,5.527545,31,False,1.5873867,,,,,,,,46,26,0.019510437,48,21,0,0.004934087,115.82555,0,0,0.90314484,,,,,,,,,False,399,992902.8867759864,320.2419,3100.4775,10.6951,45,563925.8858054484,518.7702,1087.0437,10.960487,44,617109.9573597186,405.22763,1522.8723,10.271989,0.0,0.0,0.0,0.0,0.0,1.1894777,0.6884985,0.26538754,0.42311096,-4.6517296,0.5927085,9,6750.0,4.5,0.0,70.869946075847,12.502044692126248,300.77492418556346,60.70399175658388,False,False,False,False,221.65996,221.21848,222.23425,221.92255,221.51927,222.33739,10033.0,-0.015055,4.50873955034103
4346201,6103.424434,100,4.144150306,0.1,-0.209017813,0.06,5.1321355,fit looks good,False,2.0545841227325417,0.0876851126432995,0.0836858550496255,0.0856854838464625,244.3515425154252,3.334145341453421,3.2542885428854333,2MASS J19010863+3929529,9.908,8.955999999999998,0.021,8.679999999999998,0.026,8.609,0.02,1636042515805110273,Gaia EDR3 2100311609874015488,2100311609874015488,527878223,2016.0,285.28601935494095,0.048811033,39.49828156332261,0.050370187,4.078180162178126,0.055681854,73.24074,64.02159,11.492486158140412,0.06195794,62.981635663740384,0.06402166,-0.023251574,0.002524115,-0.05235351,-0.020867186,0.11679475,-0.0430003,-0.27575505,-0.124456614,-0.14381088,0.032805413,444,444,443,1,85.14291,23948.627,0.71097314,758.3465,31,False,1.5808336,,,,,,,,50,28,0.09087305,52,21,1,0.010257464,68.288536,0,0,4.982781,,,,,,,,,False,410,2118938.4191260845,467.01935,4537.1533,9.872071,51,1191385.8966918087,455.70218,2614.396,10.148411,50,1348043.12720876,227.738,5919.2715,9.423636,0.0,0.0,0.0,0.0,0.0,1.198444,0.72477436,0.27633953,0.44843483,-49.08687,0.45287588,4,6250.0,4.0,-0.25,69.93309110378792,15.126719126900126,295.32340673270545,61.60043396019837,False,False,False,False,243.90991,240.9196,247.18062,243.75867,240.7465,246.52542,10033.0,-0.016971,4.095151162178126
